"filename", "language", "JavaScript", "Properties", "JSON", "comment", "blank", "total"
"/Users/phamtuanbinh/Desktop/EThrift/server/.env", "Properties", 0, 1, 0, 0, 0, 1
"/Users/phamtuanbinh/Desktop/EThrift/server/constants/role.js", "JavaScript", 6, 0, 0, 0, 2, 8
"/Users/phamtuanbinh/Desktop/EThrift/server/handlers/order.js", "JavaScript", 71, 0, 0, 3, 17, 91
"/Users/phamtuanbinh/Desktop/EThrift/server/handlers/product.js", "JavaScript", 56, 0, 0, 3, 17, 76
"/Users/phamtuanbinh/Desktop/EThrift/server/handlers/productCategory.js", "JavaScript", 74, 0, 0, 0, 20, 94
"/Users/phamtuanbinh/Desktop/EThrift/server/handlers/user.js", "JavaScript", 141, 0, 0, 0, 39, 180
"/Users/phamtuanbinh/Desktop/EThrift/server/handlers/userAdress.js", "JavaScript", 56, 0, 0, 3, 19, 78
"/Users/phamtuanbinh/Desktop/EThrift/server/index.js", "JavaScript", 17, 0, 0, 0, 7, 24
"/Users/phamtuanbinh/Desktop/EThrift/server/models/cart.js", "JavaScript", 42, 0, 0, 4, 9, 55
"/Users/phamtuanbinh/Desktop/EThrift/server/models/order.js", "JavaScript", 148, 0, 0, 8, 30, 186
"/Users/phamtuanbinh/Desktop/EThrift/server/models/product.js", "JavaScript", 86, 0, 0, 0, 10, 96
"/Users/phamtuanbinh/Desktop/EThrift/server/models/productCategory.js", "JavaScript", 36, 0, 0, 0, 9, 45
"/Users/phamtuanbinh/Desktop/EThrift/server/models/productInventory.js", "JavaScript", 0, 0, 0, 0, 1, 1
"/Users/phamtuanbinh/Desktop/EThrift/server/models/user.js", "JavaScript", 116, 0, 0, 0, 22, 138
"/Users/phamtuanbinh/Desktop/EThrift/server/models/userAddress.js", "JavaScript", 40, 0, 0, 0, 9, 49
"/Users/phamtuanbinh/Desktop/EThrift/server/models/userPayment.js", "JavaScript", 0, 0, 0, 0, 1, 1
"/Users/phamtuanbinh/Desktop/EThrift/server/package-lock.json", "JSON", 0, 0, 3368, 0, 1, 3369
"/Users/phamtuanbinh/Desktop/EThrift/server/package.json", "JSON", 0, 0, 24, 0, 1, 25
"/Users/phamtuanbinh/Desktop/EThrift/server/routers/orderRouter.js", "JavaScript", 13, 0, 0, 0, 2, 15
"/Users/phamtuanbinh/Desktop/EThrift/server/routers/productCategoryRouter.js", "JavaScript", 29, 0, 0, 0, 7, 36
"/Users/phamtuanbinh/Desktop/EThrift/server/routers/productRouter.js", "JavaScript", 24, 0, 0, 4, 7, 35
"/Users/phamtuanbinh/Desktop/EThrift/server/routers/userAddressRouter.js", "JavaScript", 12, 0, 0, 3, 6, 21
"/Users/phamtuanbinh/Desktop/EThrift/server/routers/userRouter.js", "JavaScript", 27, 0, 0, 6, 6, 39
"/Users/phamtuanbinh/Desktop/EThrift/server/utils/authenticate.js", "JavaScript", 72, 0, 0, 0, 14, 86
"/Users/phamtuanbinh/Desktop/EThrift/server/utils/express.js", "JavaScript", 10, 0, 0, 0, 5, 15
"/Users/phamtuanbinh/Desktop/EThrift/server/utils/mongoose.js", "JavaScript", 7, 0, 0, 0, 3, 10
"Total", "-", 1083, 1, 3392, 34, 264, 4774